trial_id,uuid,detected,detected_start,detected_end,detected_duration_s,median_RSSI,max_RSSI
Trial_004,bbbe7f51-5630-4df7-bd19-84c2ecea35f3,True,2025-09-17T12:00:14.196856,2025-09-17T12:10:36.434689,622.237833,-70.0,-66.0
Trial_004,bbbe7f51-5630-4df7-bd19-84c2ecea35f3,True,2025-09-17T12:36:32.105040,2025-09-17T12:46:37.132561,605.027521,-69.0,-65.0
Trial_004,bbbe7f51-5630-4df7-bd19-84c2ecea35f3,True,2025-09-17T13:06:19.976403,2025-09-17T13:29:44.538408,1404.562005,-69.0,-67.0
Trial_004,bbbe7f51-5630-4df7-bd19-84c2ecea35f3,True,2025-09-17T14:36:55.147352,2025-09-17T14:36:59.929732,4.78238,-69.0,-68.0
Trial_004,bbbe7f51-5630-4df7-bd19-84c2ecea35f3,True,2025-09-17T15:50:40.090949,2025-09-17T16:00:34.626977,594.536028,-76.0,-76.0
Trial_004,bbbe7f51-5630-4df7-bd19-84c2ecea35f3,True,2025-09-17T17:02:35.229013,2025-09-17T17:13:52.257332,677.028319,-76.0,-75.0
Trial_005,bbbe7f51-5630-4df7-bd19-84c2ecea35f3,True,2025-09-18T14:33:46.382113,2025-09-18T14:38:41.504005,295.121892,-72.0,-68.0
Trial_005,bbbe7f51-5630-4df7-bd19-84c2ecea35f3,True,2025-09-18T14:39:16.748265,2025-09-18T14:44:12.137094,295.388829,-71.0,-69.0
Trial_005,bbbe7f51-5630-4df7-bd19-84c2ecea35f3,True,2025-09-18T14:44:57.402549,2025-09-18T14:49:52.625638,295.223089,-76.0,-70.0
Trial_005,bbbe7f51-5630-4df7-bd19-84c2ecea35f3,True,2025-09-18T14:50:27.904665,2025-09-18T14:55:23.103283,295.198618,-75.0,-71.0
Trial_005,bbbe7f51-5630-4df7-bd19-84c2ecea35f3,True,2025-09-18T14:55:58.589775,2025-09-18T15:00:53.840575,295.2508,-76.0,-69.0
Trial_005,bbbe7f51-5630-4df7-bd19-84c2ecea35f3,True,2025-09-18T15:02:06.726648,2025-09-18T15:06:36.850215,270.123567,-76.0,-73.0
Trial_005,bbbe7f51-5630-4df7-bd19-84c2ecea35f3,True,2025-09-18T15:08:10.119927,2025-09-18T15:12:42.654094,272.534167,-75.5,-73.0
Trial_005,bbbe7f51-5630-4df7-bd19-84c2ecea35f3,True,2025-09-18T15:13:48.101698,2025-09-18T15:18:20.388196,272.286498,-72.0,-70.0
Trial_005,bbbe7f51-5630-4df7-bd19-84c2ecea35f3,True,2025-09-18T15:19:20.554662,2025-09-18T15:19:20.554662,0.0,-72.0,-72.0
Trial_005,bbbe7f51-5630-4df7-bd19-84c2ecea35f3,False,,,0.0,,
Trial_005,bbbe7f51-5630-4df7-bd19-84c2ecea35f3,False,,,0.0,,
Trial_005,bbbe7f51-5630-4df7-bd19-84c2ecea35f3,False,,,0.0,,
Trial_006,bbbe7f51-5630-4df7-bd19-84c2ecea35f3,True,2025-09-18T13:11:14.716596,2025-09-18T13:15:46.246215,271.529619,-79.0,-76.0
Trial_006,bbbe7f51-5630-4df7-bd19-84c2ecea35f3,True,2025-09-18T13:17:13.575832,2025-09-18T13:21:38.211094,264.635262,-79.0,-78.0
Trial_006,bbbe7f51-5630-4df7-bd19-84c2ecea35f3,True,2025-09-18T13:23:27.436218,2025-09-18T13:27:58.761192,271.324974,-79.0,-79.0
Trial_006,bbbe7f51-5630-4df7-bd19-84c2ecea35f3,True,2025-09-18T13:29:14.556693,2025-09-18T13:34:09.452526,294.895833,-79.0,-78.0
Trial_006,bbbe7f51-5630-4df7-bd19-84c2ecea35f3,True,2025-09-18T13:35:35.983658,2025-09-18T13:39:59.470124,263.486466,-79.0,-78.0
Trial_006,bbbe7f51-5630-4df7-bd19-84c2ecea35f3,True,2025-09-18T13:45:36.268055,2025-09-18T13:45:38.346972,2.078917,-79.0,-79.0
Trial_006,bbbe7f51-5630-4df7-bd19-84c2ecea35f3,True,2025-09-18T13:46:42.466046,2025-09-18T13:51:19.549219,277.083173,-79.0,-79.0
Trial_006,bbbe7f51-5630-4df7-bd19-84c2ecea35f3,True,2025-09-18T13:56:52.134860,2025-09-18T13:56:53.347537,1.212677,-78.5,-77.0
Trial_006,bbbe7f51-5630-4df7-bd19-84c2ecea35f3,True,2025-09-18T14:00:04.091173,2025-09-18T14:00:04.357125,0.265952,-78.5,-78.0
