device_label,session_count_sum,avg_median_RSSI_mean,avg_median_RSSI_std,avg_max_RSSI_mean,avg_max_RSSI_std,std_median_RSSI_mean,std_max_RSSI_mean
Device A,61,-72.668,3.893,-70.11,4.585,1.879,2.612
Device B,58,-71.782,4.148,-68.841,5.308,1.802,2.5
